number,prize_code,prize_category,draw_date
0000,1,First,2014-10-04
0000,2,Second,2014-09-05
0000,2,Second,2024-11-19
0000,S,Starter,2005-08-20
0000,S,Starter,2006-05-13
0000,S,Starter,2012-01-28
0000,S,Starter,2013-10-25
0000,C,Consolation,2000-11-14
0000,C,Consolation,2002-09-13
0000,C,Consolation,2005-04-12
0000,C,Consolation,2009-06-12
0000,C,Consolation,2011-08-05
0000,C,Consolation,2016-01-19
0000,C,Consolation,2016-02-20
0000,C,Consolation,2020-06-23
0000,C,Consolation,2025-02-22
0000,C,Consolation,2026-03-21
0001,1,First,1994-12-10
0001,2,Second,1988-12-23
0001,2,Second,2021-03-12
0001,S,Starter,2006-04-25
0001,S,Starter,2013-07-13
0001,S,Starter,2015-03-20
0001,S,Starter,1993-11-05
0001,C,Consolation,2013-02-05
0001,C,Consolation,2017-02-24
0001,C,Consolation,2018-08-21
0001,C,Consolation,2019-01-08
0001,C,Consolation,2026-02-06
0002,3,Third,2004-02-06
0002,S,Starter,1987-11-07
0002,S,Starter,2003-02-21
0002,S,Starter,2003-05-06
0002,S,Starter,2004-01-02
0002,S,Starter,2013-02-05
0002,S,Starter,2019-03-15
0002,S,Starter,1998-02-03
0002,C,Consolation,2004-06-12
0002,C,Consolation,1988-06-24
0002,C,Consolation,2005-05-03
0002,C,Consolation,2009-02-07
0002,C,Consolation,2009-10-06
0002,C,Consolation,2014-04-18
0002,C,Consolation,2014-05-24
0003,S,Starter,2001-08-17
0003,S,Starter,2004-01-31
0003,S,Starter,2015-03-21
0003,S,Starter,2015-06-12
0003,S,Starter,2016-08-26
0003,S,Starter,1990-06-22
0003,S,Starter,2020-01-25
0003,S,Starter,1992-01-10
0003,C,Consolation,2008-10-07
0004,S,Starter,2000-05-06
0004,S,Starter,2018-10-16
0004,S,Starter,2023-08-04
0004,S,Starter,1993-05-21
0004,C,Consolation,2003-07-19
0004,C,Consolation,2004-05-04
0004,C,Consolation,2006-12-22
0004,C,Consolation,1993-08-06
0005,1,First,2016-07-02
0005,S,Starter,2001-04-13
0005,S,Starter,2018-04-14
0005,S,Starter,2021-12-28
0005,C,Consolation,1993-07-06
0006,2,Second,1990-05-19
0006,2,Second,2026-04-24
0006,3,Third,2007-01-27
0006,3,Third,2014-04-05
0006,S,Starter,1996-01-27
0006,S,Starter,1997-08-09
0006,S,Starter,1999-12-24
0006,S,Starter,1986-07-19
0006,S,Starter,2018-05-25
0006,S,Starter,2026-07-03
0006,C,Consolation,2002-02-01
0006,C,Consolation,2011-12-06
0006,C,Consolation,2012-08-14
0006,C,Consolation,2013-08-31
0006,C,Consolation,2022-08-02
0006,C,Consolation,1995-05-13
0007,1,First,2001-12-11
0007,3,Third,2009-12-26
0007,3,Third,1995-12-01
0007,S,Starter,2000-06-30
0007,S,Starter,2000-10-03
0007,S,Starter,2005-06-21
0007,S,Starter,2011-06-04
0007,S,Starter,2023-10-13
0007,C,Consolation,1999-02-20
0007,C,Consolation,2002-05-25
0007,C,Consolation,2024-03-09
0008,1,First,2015-03-17
0008,2,Second,2024-02-27
0008,3,Third,2003-06-28
0008,S,Starter,1999-12-11
0008,S,Starter,2009-06-05
0008,S,Starter,2010-04-23
0008,S,Starter,2012-09-07
0008,S,Starter,2024-07-20
0008,C,Consolation,2013-10-15
0008,C,Consolation,2022-01-04
0008,C,Consolation,2023-07-22
0008,C,Consolation,2024-02-16
0008,C,Consolation,1992-10-02
0009,1,First,2007-03-03
0009,3,Third,2008-11-29
0009,S,Starter,2003-03-07
0009,S,Starter,2009-04-04
0009,S,Starter,2015-05-30
0009,C,Consolation,2013-11-01
0009,C,Consolation,2021-06-19
0010,1,First,1987-03-07
0010,3,Third,2024-02-16
0010,S,Starter,1987-07-25
0010,S,Starter,1999-11-27
0010,S,Starter,2003-05-03
0010,S,Starter,2006-08-22
0010,S,Starter,2018-10-02
0010,S,Starter,2025-01-17
0010,C,Consolation,2005-04-12
0010,C,Consolation,2009-03-17
0010,C,Consolation,2013-03-30
0010,C,Consolation,1991-11-02
0010,C,Consolation,1994-07-30
0011,3,Third,1998-06-05
0011,3,Third,2023-01-06
0011,S,Starter,1988-10-01
0011,S,Starter,2014-01-17
0011,C,Consolation,2001-08-21
0011,C,Consolation,2012-11-02
0011,C,Consolation,2016-09-06
0011,C,Consolation,2018-06-12
0011,C,Consolation,2019-09-28
0011,C,Consolation,2019-11-22
0011,C,Consolation,2021-03-19
0012,2,Second,2021-02-19
0012,3,Third,1998-10-31
0012,S,Starter,2000-09-22
0012,S,Starter,2009-05-05
0012,S,Starter,1990-06-08
0012,C,Consolation,2009-05-22
0012,C,Consolation,2011-10-28
0012,C,Consolation,2012-11-10
0012,C,Consolation,2015-07-14
0013,1,First,1997-12-13
0013,1,First,2002-10-19
0013,3,Third,2004-12-28
0013,S,Starter,1988-05-21
0013,S,Starter,2025-11-08
0013,C,Consolation,2000-08-19
0013,C,Consolation,2012-03-06
0013,C,Consolation,2015-12-18
0013,C,Consolation,2016-06-03
0013,C,Consolation,2016-08-13
0013,C,Consolation,2020-08-22
0013,C,Consolation,2023-04-25
0013,C,Consolation,2026-02-17
0014,3,Third,1991-04-20
0014,S,Starter,2015-04-07
0014,S,Starter,2017-05-09
0014,S,Starter,2022-07-22
0014,C,Consolation,2001-08-03
0014,C,Consolation,2012-11-24
0014,C,Consolation,2024-11-05
0014,C,Consolation,2026-06-05
0014,C,Consolation,1994-04-22
0015,2,Second,1998-05-22
0015,3,Third,1994-06-25
0015,S,Starter,2000-08-15
0015,S,Starter,2004-11-06
0015,S,Starter,2006-12-19
0015,S,Starter,2008-05-16
0015,S,Starter,2011-03-15
0015,S,Starter,2014-04-29
0015,S,Starter,2021-03-09
0015,S,Starter,2022-06-25
0015,S,Starter,2023-05-16
0015,S,Starter,1992-08-21
0015,S,Starter,1995-04-08
0015,C,Consolation,2010-04-13
0015,C,Consolation,1986-09-13
0015,C,Consolation,2011-08-19
0015,C,Consolation,2016-05-20
